zooID	i	latit	longit	type	scinam	Nestbuilding 	Courtshipfeeding 	Incubation	FeedingOffspring 	Precocilaity 	family	order_	genus	brange_area	clutch_size	generation_length	territoriality	social_bond	migr_dist	lab_method	ep_offspring	wp_offspring	ep_broods	wp_broods	X	Y	rel_latitude	rel_distance	Realm	seasonality	n_epy	n_epb	prop_epb	prop_epo
4	198	24.944	-97.655	1	egretta_rufescens	NA	NA	NA	NA	NA	ardeidae	pelecaniformes	egretta	3.37755E+11	3	6.6	0	1	952.487	1	NA	NA	8	44	-8833630.593	3225202.003	0.344043135	0.201207243	Nearctic	0.630140841	NA	52	0.153846154	NA
9	199	9.117	-79.7	1	elaenia_chiriquensis	NA	NA	NA	NA	NA	tyrannidae	passeriformes	elaenia	7.2516E+12	2	4.6	1	1	782.621	1	14	24	10	5	-7454539.544	1198755.9	-0.309220886	0.004965243	Panamanian	0.096747063	38	15	0.666666667	0.368421053
9	200	9.117	-79.7	1	elaenia_flavogaster	NA	NA	NA	NA	NA	tyrannidae	passeriformes	elaenia	1.03911E+13	2	4.6	2	2	954.464	1	1	23	1	12	-7454539.544	1198755.9	-0.395435523	0.005982054	Panamanian	0.096747063	24	13	0.076923077	0.041666667
8	201	57.617	-7.5	1	miliaria_calandra	0.0  	0.0  	0.0  	17.3  	0  	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	42	1	14	-562829.6266	6790172.54	0.986283266	0.004975124	Palearctic	0.926387072	44	15	0.066666667	0.045454545
8	202	59.9	17.533	1	emberiza_citrinella	0.0  	0.0  	0.0  	41.5  	0  	emberizidae	passeriformes	emberiza	1.28642E+13	4	3.7	1	1	1499.26	1	46	77	22	10	1288745.945	6987683.134	0.460552857	0.167173252	Palearctic	1.261906862	123	32	0.6875	0.37398374
8	203	51.75	4.75	1	emberiza_schoeniclus	0.0  	0.0  	0.0  	40.0  	0  	emberizidae	passeriformes	emberiza	2.37716E+13	5	3.6	1	1	2829.01	1	241	232	89	32	373918.3913	6244181.999	0.186234473	0.042871386	Palearctic	0.905958891	473	121	0.73553719	0.509513742
8	204	52.656	-0.657	1	emberiza_schoeniclus	NA	NA	NA	NA	NA	emberizidae	passeriformes	emberiza	NA	NA	NA	NA	NA	NA	1	118	98	50	8	-51363.17738	6331889.385	0.230808792	0.164506481	Palearctic	1.024011493	216	58	0.862068966	0.546296296
8	205	61.417	8.867	1	emberiza_schoeniclus	NA	NA	NA	NA	NA	emberizidae	passeriformes	emberiza	NA	NA	NA	NA	NA	NA	1	98	234	39	33	642382.7037	7113900.041	0.628239313	0.221335992	Palearctic	1.380649447	332	72	0.541666667	0.295180723
8	206	47.425	9.249	1	emberiza_schoeniclus	NA	NA	NA	NA	NA	emberizidae	passeriformes	emberiza	NA	NA	NA	NA	NA	NA	1	248	421	102	79	750762.4943	5809838.951	-0.034505721	0.049850449	Palearctic	1.007482648	669	181	0.563535912	0.370702541
8	207	46.908	6.933	1	emberiza_schoeniclus	NA	NA	NA	NA	NA	emberizidae	passeriformes	emberiza	NA	NA	NA	NA	NA	NA	1	315	486	134	79	564699.6081	5756271.293	-0.061729675	0.036889332	Palearctic	0.974767268	801	213	0.629107981	0.393258427
